,precision,recall,f1-score,support,pipeline,classifier,vectorizer,ngram_lower_bound,ngram_upper_bound,preprocess_function
CONSPIRACY,0.7822878228782287,0.7681159420289855,0.7751371115173674,276.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_advanced
CRITICAL,0.8790170132325141,0.8874045801526718,0.8831908831908832,524.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_advanced
accuracy,0.84625,0.84625,0.84625,0.84625,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_advanced
macro avg,0.8306524180553714,0.8277602610908286,0.8291639973541254,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_advanced
weighted avg,0.8456454425602857,0.84625,0.8459123319635202,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_advanced
CONSPIRACY,0.7468354430379747,0.855072463768116,0.7972972972972973,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_advanced
CRITICAL,0.9173553719008265,0.8473282442748091,0.8809523809523809,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_advanced
accuracy,0.85,0.85,0.85,0.85,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_advanced
macro avg,0.8320954074694006,0.8512003540214625,0.8391248391248392,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_advanced
weighted avg,0.8585259964431426,0.85,0.8520913770913771,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_advanced
CONSPIRACY,0.7594501718213058,0.8007246376811594,0.7795414462081128,276.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_advanced
CRITICAL,0.8919449901768173,0.8664122137404581,0.8789932236205228,524.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_advanced
accuracy,0.84375,0.84375,0.84375,0.84375,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_advanced
macro avg,0.8256975809990615,0.8335684257108087,0.8292673349143178,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_advanced
weighted avg,0.8462342778441658,0.84375,0.8446823604132413,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_advanced
CONSPIRACY,0.8647342995169082,0.6485507246376812,0.7412008281573499,276.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_basic
CRITICAL,0.836424957841484,0.9465648854961832,0.8880931065353626,524.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_basic
accuracy,0.84375,0.84375,0.84375,0.84375,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_basic
macro avg,0.850579628679196,0.7975578050669322,0.8146469673463562,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_basic
weighted avg,0.8461916807195052,0.84375,0.837415270494948,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_basic
CONSPIRACY,0.8933333333333333,0.4855072463768116,0.6291079812206573,276.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_basic
CRITICAL,0.7815384615384615,0.9694656488549618,0.8654173764906303,524.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_basic
accuracy,0.8025,0.8025,0.8025,0.8025,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_basic
macro avg,0.8374358974358974,0.7274864476158867,0.7472626788556438,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_basic
weighted avg,0.8201076923076923,0.8025,0.7838906351224897,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_basic
CONSPIRACY,0.8547486033519553,0.5543478260869565,0.6725274725274726,276.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,TfidfVectorizer,2,2,preprocess_basic
CRITICAL,0.8019323671497585,0.950381679389313,0.8698689956331878,524.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,TfidfVectorizer,2,2,preprocess_basic
accuracy,0.81375,0.81375,0.81375,0.81375,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,TfidfVectorizer,2,2,preprocess_basic
macro avg,0.8283404852508569,0.7523647527381347,0.7711982340803302,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,TfidfVectorizer,2,2,preprocess_basic
weighted avg,0.8201539686395164,0.81375,0.801786170161716,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,TfidfVectorizer,2,2,preprocess_basic
