,precision,recall,f1-score,support,pipeline,classifier,vectorizer,features,preprocess_function,preprocess_function_uses_lemmatization,preprocess_function_uses_stemmanization,feature_list
weighted avg,0.8491228070175438,0.85,0.8463353830812698,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.8779342723004695,0.677536231884058,0.7648261758691206,276.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
CRITICAL,0.848381601362862,0.950381679389313,0.8964896489648965,524.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
accuracy,0.85625,0.85625,0.85625,0.85625,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
macro avg,0.8631579368316658,0.8139589556366855,0.8306579124170086,800.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
weighted avg,0.8585772728363366,0.85625,0.8510657507468538,800.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
CONSPIRACY,0.8423423423423423,0.677536231884058,0.751004016064257,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
CRITICAL,0.8460207612456747,0.933206106870229,0.8874773139745916,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
accuracy,0.845,0.845,0.845,0.845,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
macro avg,0.8441815517940086,0.8053711693771435,0.8192406650194244,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
weighted avg,0.844751706724025,0.845,0.8403940261955262,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
CONSPIRACY,0.8310502283105022,0.6594202898550725,0.7353535353535353,276.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
CRITICAL,0.8382099827882961,0.9293893129770993,0.881447963800905,524.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
accuracy,0.83625,0.83625,0.83625,0.83625,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
macro avg,0.8346301055493992,0.7944048014160858,0.8084007495772201,800.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
weighted avg,0.8357398674934572,0.83625,0.8310453859865623,800.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
CONSPIRACY,0.8173913043478261,0.6811594202898551,0.7430830039525692,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
CRITICAL,0.8456140350877193,0.9198473282442748,0.8811700182815356,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
accuracy,0.8375,0.8375,0.8375,0.8375,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
macro avg,0.8315026697177728,0.800503374267065,0.8121265111170524,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
weighted avg,0.8358771929824562,0.8375,0.8335299983380422,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
CONSPIRACY,0.8888888888888888,0.6956521739130435,0.7804878048780488,276.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
CRITICAL,0.8561643835616438,0.9541984732824428,0.9025270758122743,524.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
accuracy,0.865,0.865,0.865,0.865,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
macro avg,0.8725266362252664,0.8249253235977432,0.8415074403451616,800.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
weighted avg,0.8674543378995433,0.865,0.8604235273399665,800.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
CONSPIRACY,0.8590308370044053,0.7065217391304348,0.7753479125248509,276.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
CRITICAL,0.8586387434554974,0.9389312977099237,0.8969917958067457,524.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
accuracy,0.85875,0.85875,0.85875,0.85875,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
macro avg,0.8588347902299514,0.8227265184201793,0.8361698541657983,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
weighted avg,0.8587740157298706,0.85875,0.855024656074492,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
CONSPIRACY,0.8558558558558559,0.6884057971014492,0.7630522088353414,276.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
CRITICAL,0.8512110726643599,0.9389312977099237,0.8929219600725953,524.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
accuracy,0.8525,0.8525,0.8525,0.8525,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
macro avg,0.8535334642601079,0.8136685474056864,0.8279870844539683,800.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
weighted avg,0.852813522865426,0.8525,0.8481168958957427,800.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
CONSPIRACY,0.8427947598253275,0.6992753623188406,0.7643564356435644,276.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
CRITICAL,0.8546409807355516,0.9312977099236641,0.891324200913242,524.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
accuracy,0.85125,0.85125,0.85125,0.85125,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
macro avg,0.8487178702804395,0.8152865361212523,0.8278403182784032,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
weighted avg,0.8505540345215243,0.85125,0.8475203218952032,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
CONSPIRACY,0.8761904761904762,0.6666666666666666,0.757201646090535,276.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
CRITICAL,0.8440677966101695,0.950381679389313,0.8940754039497307,524.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
accuracy,0.8525,0.8525,0.8525,0.8525,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
macro avg,0.8601291364003228,0.8085241730279897,0.8256385250201328,800.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
weighted avg,0.8551501210653754,0.8525,0.8468539574883082,800.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
CONSPIRACY,0.84375,0.6847826086956522,0.756,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
CRITICAL,0.8489583333333334,0.933206106870229,0.889090909090909,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
accuracy,0.8475,0.8475,0.8475,0.8475,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
macro avg,0.8463541666666667,0.8089943577829406,0.8225454545454545,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
weighted avg,0.8471614583333335,0.8475,0.8431745454545455,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
CONSPIRACY,0.8258928571428571,0.6702898550724637,0.74,276.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
CRITICAL,0.8420138888888888,0.9255725190839694,0.8818181818181818,524.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
accuracy,0.8375,0.8375,0.8375,0.8375,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
macro avg,0.833953373015873,0.7979311870782166,0.8109090909090909,800.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
weighted avg,0.8364521329365079,0.8375,0.832890909090909,800.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
CONSPIRACY,0.8205128205128205,0.6956521739130435,0.7529411764705882,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
CRITICAL,0.8515901060070671,0.9198473282442748,0.8844036697247707,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
accuracy,0.8425,0.8425,0.8425,0.8425,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
macro avg,0.8360514632599438,0.8077497510786591,0.8186724230976794,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
weighted avg,0.840868442511552,0.8425,0.8390491095520778,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
CONSPIRACY,0.874439461883408,0.7065217391304348,0.781563126252505,276.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
CRITICAL,0.8596187175043327,0.9465648854961832,0.9009990917347865,524.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
accuracy,0.86375,0.86375,0.86375,0.86375,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
macro avg,0.8670290896938704,0.826543312313309,0.8412811089936458,800.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
weighted avg,0.8647318743151138,0.86375,0.8597936836433994,800.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
CONSPIRACY,0.8521739130434782,0.7101449275362319,0.7747035573122529,276.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
CRITICAL,0.8596491228070176,0.9351145038167938,0.8957952468007313,524.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
accuracy,0.8575,0.8575,0.8575,0.8575,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
macro avg,0.8559115179252479,0.8226297156765129,0.8352494020564921,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
weighted avg,0.8570701754385965,0.8575,0.8540186139272063,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
CONSPIRACY,0.8578199052132701,0.6557971014492754,0.7433264887063655,276.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
CRITICAL,0.8387096774193549,0.9427480916030534,0.8876909254267745,524.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
accuracy,0.84375,0.84375,0.84375,0.84375,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
macro avg,0.8482647913163125,0.7992725965261644,0.8155087070665701,800.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
weighted avg,0.8453027060082556,0.84375,0.8378851947582335,800.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
CONSPIRACY,0.8414096916299559,0.6920289855072463,0.7594433399602386,276.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
CRITICAL,0.8516579406631762,0.9312977099236641,0.8896991795806746,524.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
accuracy,0.84875,0.84875,0.84875,0.84875,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
macro avg,0.8465338161465661,0.8116633477154552,0.8245712597704566,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
weighted avg,0.8481222947467153,0.84875,0.8447609149116241,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
